Prog s-T1 s-T2 a-T1 a-T2 s-m1 a-m1 s-m2 a-m2 s-m3 a-m3 s-m4 a-m4 s-m5 a-m5 s-m6 a-m6
0 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
1 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
2 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
3 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
4 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
5 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
6 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
7 5 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
8 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
9 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
10 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
11 5 3 1 2 5 2 5 2 5 2 5 2 5 2 5 2 
12 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
13 5 3 1 2 5 3 5 3 5 3 5 3 5 3 5 3 
14 5 3 1 2 5 3 5 3 5 3 5 3 5 3 5 3 
15 6 3 1 2 6 2 6 2 6 2 6 2 6 2 6 2 
16 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
17 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
18 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
19 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
20 6 3 1 2 6 3 6 3 6 3 6 3 6 3 6 3 
21 6 3 1 2 6 3 6 3 6 3 6 3 6 3 6 3 
22 6 3 1 2 6 3 6 3 6 3 6 3 6 3 6 3 
23 7 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
24 6 3 1 2 6 3 6 3 6 3 6 3 6 3 6 3 
25 6 3 1 2 6 3 6 3 6 3 6 3 6 3 6 3 
26 6 3 1 2 6 3 6 3 6 3 6 3 6 3 6 3 
27 7 3 1 2 7 2 7 2 7 2 7 2 7 2 7 2 
28 7 3 1 2 7 3 7 3 7 3 7 3 7 3 7 3 
29 7 3 1 2 7 3 7 3 7 3 7 3 7 3 7 3 
30 7 3 1 2 7 3 7 3 7 3 7 3 7 3 7 3 
31 8 3 1 2 8 2 8 2 8 2 8 2 8 2 8 2 
32 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
33 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
34 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
35 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
36 3 3 2 2 3 4 3 4 3 4 3 4 3 4 3 4 
37 4 3 1 2 4 3 4 3 4 3 4 3 4 3 4 3 
